aircraft_model,airline,tail_number,first_flight,maximum_operating_altitude,height,length
CRJ-700,Skywest Airlines,N637CA,1999-05-27T00:00:00Z,12500,7.55,
E175-,Skywest Airlines,N205SY,,,,
B747-400,KLM Royal Dutch Airlines,PHBFB,1988-04-29T00:00:00Z,,,70.66
B737-700,Southwest Airlines,N968WN,,,,
A320-200,United Airlines,N424UA,,,,
SHORTS-360,DHL Express (USA),N24MG,1981-06-01T00:00:00Z,3050,,21.49
B737-800,Alaska Airlines,N560AS,,,,
EMB-120,Skywest Airlines,N218SW,1983-07-27T00:00:00Z,9085,,20
B747-400,Evergreen International Airlines,3203EV,1988-04-29T00:00:00Z,,,70.66
CRJ-700,Skywest Airlines,N340CA,1999-05-27T00:00:00Z,12500,7.55,
CRJ-200,Skywest Airlines,N906EV,1991-05-10T00:00:00Z,,,
CRJ-200,Skywest Airlines,N701BR,1991-05-10T00:00:00Z,,,
A350-900,Cathay Pacific,BLRL,2013-06-14T00:00:00Z,,,
EMB-120,Skywest Airlines,N576SW,1983-07-27T00:00:00Z,9085,,20
A300-B2,Swissport USA,373PC,1974-12-25T00:00:00Z,,,
A321-200,Delta Air Lines,N321DH,,,,
B777-300,Emirates ,A6EFJ,,,,
EMB-120,Skywest Airlines,N229SW,1983-07-27T00:00:00Z,9085,,20
B747-400ER,Nippon Cargo Airlines,JA08KZ,,,,
B767-400ER,Delta Air Lines,N854MH,,,,
B737-700,Southwest Airlines,N7879A,,,,
B787-9,Virgin Atlantic,GVBOW,,,17,62.8
B777-300,Korean Air Lines,HL9999,,,,
B717-,Delta Air Lines,N608AT,,,,
A330-200,American Airlines,N289AY,,,,
CRJ-200,Skywest Airlines,N925EV,1991-05-10T00:00:00Z,,,
CRJ-900,Skywest Airlines,N258SK,1999-05-27T00:00:00Z,12500,7.55,
B767-400ER,Delta Air Lines,N829MH,,,,
B777-300,United Airlines,N3639U,,,,
B787-9,Korean Air Lines,HL8083,,,17,62.8
CRJ-900,Air Canada,CGPJZ,1991-05-10T00:00:00Z,12500,,
B747-400,Qantas Airways,VH-OEJ,1988-04-29T00:00:00Z,,,70.66
A350-900,Cathay Pacific,BLRQ,2013-06-14T00:00:00Z,,,
B737-900,Alaska Airlines,N281AK,,,,
B777-300,Korean Air Lines,HL8011,,,,
B737-900,Alaska Airlines,N263AK,,,,
B747-400,Swissport USA,740WA,1988-04-29T00:00:00Z,,,70.66
A320-200,Air Canada,CFLSS,,,,
E175-,Horizon Air ,N623QX,,,,
B767-300,Atlas Air Inc,N1399A,,,,
B787-9,Korean Air Lines,HL8082,,,17,62.8
DC8-73F,Swissport USA,865F,,,,
A350-900,Asiana Airlines,HL7578,2013-06-14T00:00:00Z,,,
B737-800,Southwest Airlines,N8715Q,,,,
B737-900,Alaska Airlines,N280AS,,,,
B737-900,Alaska Airlines,N440AS,,,,
A330-300,Hawaiian Airlines,N382HA,,,,
A350-900,Cathay Pacific,BLRV,2013-06-14T00:00:00Z,,,
A321-200,Delta Air Lines,N335DN,,,,
B737-700,Southwest Airlines,N7743B,,,,
B747-400,Singapore Airlines,9VSFQ,1988-04-29T00:00:00Z,,,70.66
B747-400,Qantas Airways,VH-OJS,1988-04-29T00:00:00Z,,,70.66
B777-300,Korean Air Lines,HL8250,,,,
EMB-120,Skywest Airlines,N224SW,1983-07-27T00:00:00Z,9085,,20
CRJ-900,Air Canada,CGLJZ,1991-05-10T00:00:00Z,12500,,
A321-200,JetBlue Airways,N982JT,,,,
A350-900,Cathay Pacific,BLRO,2013-06-14T00:00:00Z,,,
A319-,Delta Air Lines,N368NB,1995-08-25T00:00:00Z,,11.76,33.84
A300-600,Air China,AC1234,,,,
CRJ-200,Skywest Airlines,N905EV,1991-05-10T00:00:00Z,,,
B737-900,Alaska Airlines,N266AK,,,,
B767-400ER,Delta Air Lines,N832MH,,,,
A321-200,Virgin America,N924VA,,,,
B737-700,Sun Country Airlines,N716SY,,,,
B737-900,Alaska Airlines,N448AS,,,,
E175-,Compass Airlines,N633CZ,,,,
MD-11,EVA Airways,B16108,1990-01-10T00:00:00Z,13000,17.6,61.21
MD-11,EVA Airways,B16109,1990-01-10T00:00:00Z,13000,17.6,61.21
MD-11,EVA Airways,B16110,1990-01-10T00:00:00Z,13000,17.6,61.21
MD-11,EVA Airways,B16113,1990-01-10T00:00:00Z,13000,17.6,61.21
B747-400,EVA Airways,B16401,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16402,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16403,1988-04-29T00:00:00Z,,,70.66
B777-300,United Airlines,N2534U,,,,
E175-,Compass Airlines,N607CZ,,,,
B747-400,EVA Airways,B16462,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16463,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16481,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16482,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16483,1988-04-29T00:00:00Z,,,70.66
B747-400,EVA Airways,B16487,1988-04-29T00:00:00Z,,,70.66
B767-300,DHL Express (USA),N648GT,,,,
CRJ-900,Skywest Airlines,N4903S,1999-05-27T00:00:00Z,12500,7.55,
EMB-120,Skywest Airlines,N580SW,1983-07-27T00:00:00Z,9085,,20
CRJ-200,Skywest Airlines,N461SK,1991-05-10T00:00:00Z,,,
B737-800,Alaska Airlines,N551AS,,,,
E175-,Skywest Airlines,N167SY,,,,
B777-300,Korean Air Lines,HL7202,,,,
B737-800,Alaska Airlines,N633AS,,,,
EMB-120,Skywest Airlines,N236SW,1983-07-27T00:00:00Z,9085,,20
B747-400,China Airlines,B18702,1988-04-29T00:00:00Z,,,70.66
B747-400,China Airlines,B18705,1988-04-29T00:00:00Z,,,70.66
CRJ-100,Skywest Airlines,N454,,,,
B737-800,Southwest Airlines,N8528Q,,,,
CRJ-200,Skywest Airlines,N903EV,1991-05-10T00:00:00Z,,,
B747-400,Qantas Airways,VH-OED,1988-04-29T00:00:00Z,,,70.66
B767-200,Amerijet,N743AX,,,,
EMB-120,Skywest Airlines,N560SW,1983-07-27T00:00:00Z,9085,,20
CRJ-200,Skywest Airlines,N412SW,1991-05-10T00:00:00Z,,,
A350-900,Cathay Pacific,BLRM,2013-06-14T00:00:00Z,,,
